Nome;Disciplina;Nota_NP1;Nota_NP2;Media;Status;Media_NP1
Juliana Moura;Cálculo I;2.9;2.5;2.7;Reprovado;2.9
Juliana Moura;Física I;6.6;3.7;5.2;Reprovado;6.6
Juliana Moura;Algoritmos;8.9;4.6;6.8;Reprovado;8.9
Juliana Moura;Banco de Dados;3.4;5.0;4.2;Reprovado;3.4
Juliana Moura;Engenharia de Software;6.1;9.0;7.5;Aprovado;6.1
Juliana Moura;Cálculo I;7.5;0.3;3.9;Reprovado;7.5
Juliana Moura;Física I;5.0;5.0;5.0;Reprovado;5.0
Juliana Moura;Algoritmos;2.7;0.4;1.6;Reprovado;2.7
Juliana Moura;Banco de Dados;6.5;1.7;4.1;Reprovado;6.5
Juliana Moura;Engenharia de Software;3.4;9.2;6.3;Reprovado;3.4
Ana Paula;Cálculo I;4.0;8.3;6.2;Reprovado;4.0
Ana Paula;Física I;1.8;6.9;4.4;Reprovado;1.8
Ana Paula;Algoritmos;0.5;9.2;4.8;Reprovado;0.5
Ana Paula;Banco de Dados;8.2;6.9;7.5;Aprovado;8.2
Ana Paula;Engenharia de Software;8.4;7.5;8.0;Aprovado;8.4
Rafael Pereira;Cálculo I;1.1;0.6;0.9;Reprovado;1.1
Rafael Pereira;Física I;0.4;1.3;0.9;Reprovado;0.4
Rafael Pereira;Algoritmos;7.7;1.6;4.7;Reprovado;7.7
Rafael Pereira;Banco de Dados;5.6;2.6;4.1;Reprovado;5.6
Rafael Pereira;Engenharia de Software;6.0;8.0;7.0;Aprovado;6.0
Ana Paula;Cálculo I;0.1;6.9;3.5;Reprovado;0.1
Ana Paula;Física I;4.9;6.4;5.7;Reprovado;4.9
Ana Paula;Algoritmos;7.0;4.6;5.8;Reprovado;7.0
Ana Paula;Banco de Dados;1.9;5.9;3.9;Reprovado;1.9
Ana Paula;Engenharia de Software;2.1;2.8;2.5;Reprovado;2.1
Carlos Eduardo;Cálculo I;8.7;5.8;7.2;Aprovado;8.7
Carlos Eduardo;Física I;8.7;9.5;9.1;Aprovado;8.7
Carlos Eduardo;Algoritmos;1.0;8.6;4.8;Reprovado;1.0
Carlos Eduardo;Banco de Dados;4.2;8.5;6.3;Reprovado;4.2
Carlos Eduardo;Engenharia de Software;9.4;8.8;9.1;Aprovado;9.4
Luiz Henrique;Cálculo I;0.7;0.7;0.7;Reprovado;0.7
Luiz Henrique;Física I;7.4;3.0;5.2;Reprovado;7.4
Luiz Henrique;Algoritmos;1.0;3.9;2.5;Reprovado;1.0
Luiz Henrique;Banco de Dados;2.6;7.8;5.2;Reprovado;2.6
Luiz Henrique;Engenharia de Software;6.3;3.9;5.1;Reprovado;6.3
Luiz Henrique;Cálculo I;3.9;4.1;4.0;Reprovado;3.9
Luiz Henrique;Física I;1.1;2.5;1.8;Reprovado;1.1
Luiz Henrique;Algoritmos;0.1;5.8;2.9;Reprovado;0.1
Luiz Henrique;Banco de Dados;1.6;0.6;1.1;Reprovado;1.6
Luiz Henrique;Engenharia de Software;0.4;5.6;3.0;Reprovado;0.4
Juliana Moura;Cálculo I;1.5;0.1;0.8;Reprovado;1.5
Juliana Moura;Física I;4.3;8.0;6.2;Reprovado;4.3
Juliana Moura;Algoritmos;1.9;6.2;4.0;Reprovado;1.9
Juliana Moura;Banco de Dados;7.7;6.2;7.0;Aprovado;7.7
Juliana Moura;Engenharia de Software;2.6;0.5;1.6;Reprovado;2.6
João da Silva;Cálculo I;1.5;2.2;1.9;Reprovado;1.5
João da Silva;Física I;9.2;7.5;8.3;Aprovado;9.2
João da Silva;Algoritmos;4.8;6.5;5.7;Reprovado;4.8
João da Silva;Banco de Dados;1.2;6.1;3.6;Reprovado;1.2
João da Silva;Engenharia de Software;2.4;9.6;6.0;Reprovado;2.4
Fernanda Lima;Cálculo I;5.9;2.9;4.4;Reprovado;5.9
Fernanda Lima;Física I;4.7;7.9;6.3;Reprovado;4.7
Fernanda Lima;Algoritmos;9.6;5.2;7.4;Aprovado;9.6
Fernanda Lima;Banco de Dados;9.4;7.8;8.6;Aprovado;9.4
Fernanda Lima;Engenharia de Software;5.0;0.1;2.5;Reprovado;5.0
João da Silva;Cálculo I;4.2;0.1;2.1;Reprovado;4.2
João da Silva;Física I;6.9;10.0;8.4;Aprovado;6.9
João da Silva;Algoritmos;7.7;5.6;6.7;Reprovado;7.7
João da Silva;Banco de Dados;1.5;2.2;1.9;Reprovado;1.5
João da Silva;Engenharia de Software;7.9;8.5;8.2;Aprovado;7.9
Ana Paula;Cálculo I;2.5;1.0;1.8;Reprovado;2.5
Ana Paula;Física I;3.1;6.6;4.8;Reprovado;3.1
Ana Paula;Algoritmos;2.7;5.2;4.0;Reprovado;2.7
Ana Paula;Banco de Dados;1.6;6.6;4.1;Reprovado;1.6
Ana Paula;Engenharia de Software;8.0;9.8;8.9;Aprovado;8.0
Camila Costa;Cálculo I;3.3;2.5;2.9;Reprovado;3.3
Camila Costa;Física I;8.3;9.6;8.9;Aprovado;8.3
Camila Costa;Algoritmos;5.1;6.0;5.5;Reprovado;5.1
Camila Costa;Banco de Dados;6.7;6.0;6.3;Reprovado;6.7
Camila Costa;Engenharia de Software;4.3;3.5;3.9;Reprovado;4.3
Carlos Eduardo;Cálculo I;5.2;2.8;4.0;Reprovado;5.2
Carlos Eduardo;Física I;8.9;1.2;5.0;Reprovado;8.9
Carlos Eduardo;Algoritmos;3.1;5.2;4.2;Reprovado;3.1
Carlos Eduardo;Banco de Dados;1.4;0.5;0.9;Reprovado;1.4
